City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Karlstad,SE,82.96,broken clouds,59.3793,13.5036,Scandic Karlstad City
394,Ketchikan,US,63.07,clear sky,55.3422,-131.6461,Snow's Cove Lodge
396,San Policarpo,PH,80.83,overcast clouds,12.1791,125.5072,Agapita M. Nicart
397,Sabang,ID,82.96,overcast clouds,5.8933,95.3214,Hotel Citra
399,Qrendi,MT,85.66,clear sky,35.8347,14.4583,M'Anglu
400,Lasa,IT,81.7,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
401,Coahuayana,MX,82.49,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
402,Mbandaka,CD,76.78,overcast clouds,0.0487,18.2603,Guest House Epervier
404,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
406,Kumluca,TR,79.97,broken clouds,36.3703,30.2869,Akkol Apart
407,Le Havre,FR,67.75,clear sky,49.4938,0.1077,Oscar Hôtel
408,Holland,US,77.56,overcast clouds,42.7875,-86.1089,Hampton Inn Holland
412,Half Moon Bay,US,73.81,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
414,Gotha,DE,81.0,clear sky,50.9482,10.7019,Hotel am Schlosspark
415,Molokovo,RU,77.2,clear sky,58.1661,36.7628,Gostinitsa Transneft
416,Madang,PG,76.26,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
417,Woodward,US,63.63,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
419,Ust-Maya,RU,63.52,few clouds,60.4167,134.5333,
421,Kamphaeng Phet,TH,79.41,broken clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
422,Seoul,KR,82.0,light rain,37.5683,126.9778,롯데호텔 서울
423,Hamilton,US,86.86,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
427,Kavaratti,IN,82.53,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
432,Sinnai,IT,88.25,clear sky,39.3042,9.2036,La Rosa Dei Venti Sardinya
433,The Pas,CA,68.02,clear sky,53.8251,-101.2541,Wescana Inn
434,Luwuk,ID,76.96,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
435,Haimen,CN,80.49,scattered clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
436,Santa Isabel,BR,65.91,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
438,Kodinsk,RU,60.91,broken clouds,58.6881,99.1844,
440,Yaan,NG,80.29,overcast clouds,7.3833,8.5667,
441,Kholm,RU,80.8,clear sky,59.2667,32.85,
442,Marmora,IT,75.45,broken clouds,44.4583,7.094,"Locanda degli elfi e ristorante Mascha Parpaja, albergo diffuso"
445,Lugoba,TZ,70.14,overcast clouds,-6.45,38.3333,
447,Taltal,CL,63.43,light rain,-25.4,-70.4833,Residencial Karime
448,Antalaha,MG,68.81,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
449,Shimanovsk,RU,61.07,clear sky,52.0,127.7,Гостиница Домашняя
451,Pili,PH,77.29,overcast clouds,13.5833,123.3,Moraville Drive-In Hotel
452,Bereda,ES,65.41,overcast clouds,43.2686,-7.5406,Pazo de Verdes
454,Pundaguitan,PH,81.18,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
455,Iquique,CL,62.64,overcast clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
456,Raga,SS,82.96,broken clouds,8.4596,25.678,
457,Nouakchott,MR,89.53,scattered clouds,18.0858,-15.9785,HOTEL IMAN
458,Wismar,DE,74.68,overcast clouds,53.9,11.4667,Townhouse Wismar a Vagabond Club
459,Labuhan,ID,77.04,overcast clouds,-6.8844,112.2051,DoubleFAG
460,Pindiga,NG,85.28,broken clouds,9.9833,10.9333,Accommodation Center
464,Shizukuishi,JP,70.02,overcast clouds,39.6833,140.9833,Hotel Taikan
465,Uvalde,US,88.32,broken clouds,29.3669,-99.767,
466,Talavera,PH,76.6,overcast clouds,15.6167,120.9333,R&G's Resort
467,Yichang,CN,83.1,overcast clouds,30.7144,111.2847,Gezhouba Hotel
469,Xuanhua,CN,71.1,moderate rain,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
